"ID";"GebruikVanGeweld";"SoortDiefstal";"RegioS";"Perioden";"TotaalGeregistreerdeDiefstallen_1";"GeregistreerdeDiefstallenRelatief_2";"GeregistreerdeDiefstallenPer1000Inw_3";"TotaalOpgehelderdeDiefstallen_4";"OpgehelderdeDiefstallenRelatief_5";"RegistratiesVanVerdachten_6"
"6075";"T001540";"CRI1122";"PV30  ";"2013JJ00";"   17300";"      17";"     7.0";"     635";"     3.7";"     820"
"6076";"T001540";"CRI1122";"PV30  ";"2014JJ00";"   19165";"      21";"     7.7";"     695";"     3.6";"     850"
"6077";"T001540";"CRI1122";"PV30  ";"2015JJ00";"   17455";"      21";"     7.0";"     720";"     4.1";"     885"
"6078";"T001540";"CRI1122";"PV30  ";"2016JJ00";"   13575";"      19";"     5.4";"     585";"     4.3";"     725"
"6079";"T001540";"CRI1122";"PV30  ";"2017JJ00";"   10590";"      18";"     4.2";"     460";"     4.3";"     575"
"6080";"T001540";"CRI1122";"PV30  ";"2018JJ00";"    9210";"      17";"     3.6";"     375";"     4.1";"     450"
"6081";"T001540";"CRI1122";"PV30  ";"2019JJ00";"    8960";"      17";"     3.5";"     340";"     3.8";"     410"
"6082";"T001540";"CRI1122";"PV30  ";"2020JJ00";"    8550";"      18";"     3.3";"     350";"     4.1";"     415"
"6083";"T001540";"CRI1122";"PV30  ";"2021JJ00";"    9280";"      21";"     3.6";"     295";"     3.2";"     415"
"6084";"T001540";"CRI1122";"PV31  ";"2010JJ00";"    9325";"      20";"     8.3";"     345";"     3.7";"     515"
"6085";"T001540";"CRI1122";"PV31  ";"2011JJ00";"    8585";"      17";"     7.6";"     325";"     3.8";"     485"
"6086";"T001540";"CRI1122";"PV31  ";"2012JJ00";"    9015";"      19";"     8.0";"     355";"     3.9";"     485"
"6087";"T001540";"CRI1122";"PV31  ";"2013JJ00";"    8075";"      18";"     7.2";"     310";"     3.8";"     400"
"6088";"T001540";"CRI1122";"PV31  ";"2014JJ00";"    8335";"      19";"     7.4";"     295";"     3.5";"     400"
"6089";"T001540";"CRI1122";"PV31  ";"2015JJ00";"    7610";"      19";"     6.8";"     365";"     4.8";"     465"
"6090";"T001540";"CRI1122";"PV31  ";"2016JJ00";"    5865";"      17";"     5.3";"     215";"     3.7";"     255"
"6091";"T001540";"CRI1122";"PV31  ";"2017JJ00";"    5085";"      17";"     4.6";"     220";"     4.3";"     280"
"6092";"T001540";"CRI1122";"PV31  ";"2018JJ00";"    4195";"      16";"     3.8";"     215";"     5.1";"     265"
"6093";"T001540";"CRI1122";"PV31  ";"2019JJ00";"    4160";"      17";"     3.7";"     200";"     4.9";"     260"
"6094";"T001540";"CRI1122";"PV31  ";"2020JJ00";"    3455";"      17";"     3.1";"     145";"     4.2";"     195"
"6095";"T001540";"CRI1122";"PV31  ";"2021JJ00";"    3465";"      19";"     3.1";"     130";"     3.7";"     180"
"6096";"T001540";"CRI1122";"PV99  ";"2010JJ00";"      15";"       1";"     0.0";"       5";"    20.0";"       5"
"6097";"T001540";"CRI1122";"PV99  ";"2011JJ00";"      10";"       1";"";"       0";"     0.0";"       0"
"6098";"T001540";"CRI1122";"PV99  ";"2012JJ00";"       5";"       1";"";"       0";"     0.0";"       0"
"6099";"T001540";"CRI1122";"PV99  ";"2013JJ00";"      10";"       2";"";"       0";"     0.0";"       5"
"6100";"T001540";"CRI1122";"PV99  ";"2014JJ00";"       5";"       1";"";"       0";"     0.0";"       0"
"6101";"T001540";"CRI1122";"PV99  ";"2015JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"6102";"T001540";"CRI1122";"PV99  ";"2016JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"6103";"T001540";"CRI1122";"PV99  ";"2017JJ00";"       5";"       1";"";"       0";"     0.0";"       0"
"6104";"T001540";"CRI1122";"PV99  ";"2018JJ00";"       5";"       0";"";"       0";"     0.0";"       0"
"6105";"T001540";"CRI1122";"PV99  ";"2019JJ00";"       5";"       0";"";"       0";"     0.0";"       0"
"6106";"T001540";"CRI1122";"PV99  ";"2020JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"6107";"T001540";"CRI1122";"PV99  ";"2021JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"6108";"T001540";"CRI1122";"GM1680";"2010JJ00";"      60";"      14";"       .";"       0";"     0.0";"       0"
"6109";"T001540";"CRI1122";"GM1680";"2011JJ00";"      75";"      14";"       .";"      15";"    17.1";"      20"
"6110";"T001540";"CRI1122";"GM1680";"2012JJ00";"      65";"      12";"       .";"       0";"     0.0";"       5"
"6111";"T001540";"CRI1122";"GM1680";"2013JJ00";"      60";"      13";"       .";"       0";"     0.0";"       0"
"6112";"T001540";"CRI1122";"GM1680";"2014JJ00";"      40";"      13";"       .";"       0";"     0.0";"       0"
"6113";"T001540";"CRI1122";"GM1680";"2015JJ00";"      40";"      13";"       .";"       5";"     9.8";"       5"
"6114";"T001540";"CRI1122";"GM1680";"2016JJ00";"      35";"      15";"       .";"       5";"    10.8";"       5"
"6115";"T001540";"CRI1122";"GM1680";"2017JJ00";"      30";"      15";"       .";"       0";"     0.0";"       0"
"6116";"T001540";"CRI1122";"GM1680";"2018JJ00";"      25";"      12";"       .";"       0";"     0.0";"       0"
"6117";"T001540";"CRI1122";"GM1680";"2019JJ00";"      50";"      19";"       .";"       0";"     0.0";"       0"
"6118";"T001540";"CRI1122";"GM1680";"2020JJ00";"      20";"      10";"       .";"       0";"     0.0";"       0"
"6119";"T001540";"CRI1122";"GM1680";"2021JJ00";"      30";"      17";"       .";"       0";"     0.0";"       0"
"6120";"T001540";"CRI1122";"GM0738";"2010JJ00";"      25";"      12";"       .";"       0";"     0.0";"       0"
"6121";"T001540";"CRI1122";"GM0738";"2011JJ00";"      50";"      18";"       .";"       0";"     0.0";"       0"
"6122";"T001540";"CRI1122";"GM0738";"2012JJ00";"      40";"      16";"       .";"       0";"     0.0";"       0"
"6123";"T001540";"CRI1122";"GM0738";"2013JJ00";"      25";"      12";"       .";"       0";"     0.0";"       5"
"6124";"T001540";"CRI1122";"GM0738";"2014JJ00";"      30";"      12";"       .";"       0";"     0.0";"       0"
"6125";"T001540";"CRI1122";"GM0738";"2015JJ00";"      30";"      15";"       .";"       0";"     0.0";"       0"
"6126";"T001540";"CRI1122";"GM0738";"2016JJ00";"      20";"      14";"       .";"       0";"     0.0";"       0"
"6127";"T001540";"CRI1122";"GM0738";"2017JJ00";"      15";"      14";"       .";"       0";"     0.0";"       0"
"6128";"T001540";"CRI1122";"GM0738";"2018JJ00";"       5";"       5";"       .";"       0";"     0.0";"       0"
"6129";"T001540";"CRI1122";"GM0738";"2019JJ00";"";"";"";"";"";""
"6130";"T001540";"CRI1122";"GM0738";"2020JJ00";"";"";"";"";"";""
